Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
I8DMCJPD,journalArticle,2003,"Furner, J","Little book, big book: before and after Little science, big science: a review article, Part I",JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,,0961-0006,10.1177/0961000603352006,,"Since its publication in 1963, Derek Price's Little science, big science (LSBS) has achieved 'citation classic' status. Examination of the genesis of LSBS and the state of the discipline of the history of science in the UK and the USA in the late 1950s demonstrates that Price's ideas were formulated during a pivotal period in the development of socio-historical studies of science. Price's talent for innovation and synthesis at an unsettled but highly charged time, and his appreciation of the pioneering work in science studies of the crystallographer J.D. Bernal, are reflected in the uniquely profound and wide-ranging respects in which LSBS has contributed to the development of scientometric and sociological theory.",2003-06,2/20/23 14:04,2/20/23 14:04,,115-125,,2,35,,,,,,,,,,English,,,,WOS:000184153600006,,,,,"/Users/de51/Zotero/storage/UK92NVPS/Furner - 2003 - Little book, big book before and after Little sci.pdf",,HISTORY; SOCIOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCVW57UP,journalArticle,2003,"Furner, J","Little book, big book: before and after little science, big science: a review article, Part II",JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,,0961-0006,10.1177/0961000603353006,,"A bibliometric analysis, updating Garfield's previous study of 1985, shows that Derek Price's Little science, big science (LSBS) has been cited on more than 1,500 occasions since its publication in 1963. Content analysis of these citations shows that Price's work has inspired the formation and subsequent development of several distinct communities of scholarly practice, including the history, sociology, politics and 'science' of science. In library and information science, LSBS is best remembered for its model of the exponential growth of scientific literature. Recent scientometric work has demonstrated that other mathematical models may prove a better fit to data on the actual growth of the literature in various fields; of these alternatives, the power model is most commonly invoked as an all-purpose descriptor of growth processes in electronic communication systems such as the Web. Price's work thus retains its relevance, 40 years on, for the webometricians of today.",2003-09,2/20/23 14:04,2/20/23 14:04,,189-201,,3,35,,,,,,,,,,English,,,,WOS:000185736800006,,,,,"/Users/de51/Zotero/storage/CJLAYNWA/Furner - 2003 - Little book, big book before and after little sci.pdf",,COLLABORATION; PRODUCTIVITY; GROWTH; LAW; NUMBER; SIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6QKQ3FWF,journalArticle,1992,"MYERS, FS",BIG-SCIENCE WORRIES AT THE OECD,PHYSICS WORLD,,0953-8585,10.1088/2058-7058/5/4/2,,,1992-04,2/20/23 14:04,2/20/23 14:04,,5-May,,4,5,,,,,,,,,,English,,,,WOS:A1992HM24200002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFPSARY,journalArticle,1983,"PRICE, DJD","CITATION CLASSIC - LITTLE SCIENCE, BIG SCIENCE",CURRENT CONTENTS/SOCIAL & BEHAVIORAL SCIENCES,,0092-6361,,,,1983,2/20/23 14:04,2/20/23 14:04,,18-18,,29,,,,,,,,,,,English,,,,WOS:A1983QX23200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6X6W2YSZ,journalArticle,1989,"LOGSDON, JM",MISSING HALLEYS-COMET - THE POLITICS OF BIG SCIENCE,ISIS,,0021-1753,10.1086/355011,,,1989-06,2/20/23 14:04,2/20/23 14:04,,254-280,,302,80,,,,,,,,,,English,,,,WOS:A1989AJ51300003,,,,,/Users/de51/Zotero/storage/ZG6YR48S/LOGSDON - 1989 - MISSING HALLEYS-COMET - THE POLITICS OF BIG SCIENC.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBF93DKU,journalArticle,1987,"ELLIOTT, D","LITTLE SCIENCE, BIG SCIENCE ... AND BEYOND - PRICE,DJD",ANNALS OF SCIENCE,,0003-3790,,,,1987-05,2/20/23 14:04,2/20/23 14:04,,302-303,,3,44,,,,,,,,,,English,,,,WOS:A1987H709100010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T84D4785,journalArticle,2008,"Pennisi, E",Research funding - Are epigeneticists ready for big science?,SCIENCE,,0036-8075,10.1126/science.319.5867.1177,,"Epigenetics is a science which deals with genome modifications. Mapping of epigenomes, the myriad of chemical modifications of human DNA and its associated proteins that influence gene activity is developed by a team of researchers in Epigenomics. Mapping all epigenetic modifications is more daunting than sequencing human genome, as there is no single epigenome. Each cell type has its own array of epigentic markers.",2/29/08,2/20/23 14:04,2/20/23 14:04,,1177-1177,,5867,319,,,,,,,,,,English,,,,WOS:000253530600009,,,,,/Users/de51/Zotero/storage/7UTLH3T4/Pennisi - 2008 - Research funding - Are epigeneticists ready for bi.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF2QG2WV,journalArticle,2006,"Xin, H; Gong, YD",Research funding - China bets big on big science,SCIENCE,,0036-8075,10.1126/science.311.5767.1548,,,3/17/06,2/20/23 14:04,2/20/23 14:04,,1548-1549,,5767,311,,,,,,,,,,English,,,,WOS:000236029500016,,,,,/Users/de51/Zotero/storage/2EK2AXAH/Xin and Gong - 2006 - Research funding - China bets big on big science.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JME5Z3NQ,journalArticle,1995,"McLauchlan, G; Hooks, G","Last of the dinosaurs? Big weapons, big science, and the American state from Hiroshima to the end of the cold war",SOCIOLOGICAL QUARTERLY,,0038-0253,10.1111/j.1533-8525.1995.tb00463.x,,"This article examines the origins and recent crises in linkages between big science, big weapons, and the U.S. state during and after the cold war. We examine the sources of legitimacy of military dominance of U.S. research and development (R&D) in the first decades of the cold war and argue that the exigencies of a nuclear arms race between two superpowers gave the military an unprecedented peacetime claim on science and technology resources. We argue that economic crises, political challenges by peace movements, and technological exhaustion of the nuclear arms race in the 1980s weakened military claims to science and technology leadership, but that the 1991 Persian Gulf war deflected what might have been a major shift in U.S. R&D priorities. We conclude by examining U.S. post-cold war R&D policy and find that military priorities remain preeminent.",1995,2/20/23 14:04,2/20/23 14:04,,749-776,,4,36,,,,,,,,,,English,,,,WOS:A1995TK71600007,,,,,,,UNITED-STATES; SECURITY; DEFENSE; WORLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTMAJYRN,journalArticle,2003,"Huijer, M",Reconsidering democracy - History of the human genome project,SCIENCE COMMUNICATION,,1075-5470,10.1177/1075547003024004004,,"What options are open for people-citizens, politicians, and other nonscientists-to become actively involved in and anticipate new directions in the life sciences? In addressing this question, this article focuses on the start of the Human Genome Project (1985-1990). By contrasting various models of democracy (liberal, republican, deliberative), I examine the democratic potential the models provide for citizens' involvement in setting priorities and funding patterns related to big science projects. To enhance the democratizing of big science projects and give citizens opportunities to reflect, anticipate, and negotiate on new directions in science and technology at a global level, liberal democracy with its national scope and representative structure does not suffice. Although republican (communicative) and deliberative (associative) democracy models meet the need for greater citizen involvement, the ways to achieve the ideal at a global level still remain to be developed.",2003-06,2/20/23 14:04,2/20/23 14:04,,479-502,,4,24,,,,,,,,,,English,,,,WOS:000183161900004,,,,,/Users/de51/Zotero/storage/UZDIJH3I/Huijer - 2003 - Reconsidering democracy - History of the human gen.pdf,,big science; Human Genome Project; PROGRAM; citizenship; contextualization; democracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YNBFM38R,journalArticle,1988,"REMINGTON, JA",BEYOND BIG SCIENCE IN AMERICA - THE BINDING OF INQUIRY,SOCIAL STUDIES OF SCIENCE,,0306-3127,10.1177/030631288018001002,,,1988-02,2/20/23 14:04,2/20/23 14:04,,45-72,,1,18,,,,,,,,,,English,,,,WOS:A1988M698200002,,,,,/Users/de51/Zotero/storage/YXJ2DVV5/REMINGTON - 1988 - BEYOND BIG SCIENCE IN AMERICA - THE BINDING OF INQ.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYCQKPSJ,journalArticle,1987,"CHUBIN, DE",RESEARCH EVALUATION AND THE GENERATION OF BIG SCIENCE POLICY,KNOWLEDGE-CREATION DIFFUSION UTILIZATION,,0164-0259,10.1177/0164025987009002006,,,1987-12,2/20/23 14:04,2/20/23 14:04,,254-277,,2,9,,,,,,,,,,English,,,,WOS:A1987L923200006,,,,,/Users/de51/Zotero/storage/63T3KGSR/CHUBIN - 1987 - RESEARCH EVALUATION AND THE GENERATION OF BIG SCIE.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIBYJ9VK,journalArticle,2016,"Okeke, IN","African biomedical scientists and the promises of ""big science""",CANADIAN JOURNAL OF AFRICAN STUDIES,,0008-3968,10.1080/00083968.2016.1266677,,"An ongoing genomic revolution in biology has exponentially increased the rate, possibilities, scope and cost of biological research. Infectious disease genomics are often justified by the potential they have to ameliorate Africa's disease burden. The molecular biology revolution that preceded genomic science widened the gap between the skill sets of many African biologists and their contemporaries elsewhere. Gap closure through genomics and the application of genomic data to health problems requires participation of, and leadership from, African scientists. However, few African scientists participate in genomics, and providing biological samples is their predominant contribution. Health-related applications are emerging from genomic activity for some infectious diseases that are endemic in Africa but not for many others. This article argues that the arrival of next-generation diagnostics, surveillance tools, drugs and vaccines could be accelerated by improving the nature and degree of participation of African scientists in genomic and post-genomic inquiry.",2016,2/20/23 14:04,2/20/23 14:04,,455-478,,3,50,,,,,,,,,,English,,,,WOS:000398188900007,,,,,/Users/de51/Zotero/storage/EL4RZNKL/Okeke - 2016 - African biomedical scientists and the promises of .pdf,,capacity; collaboration; Genomics; BIOTECHNOLOGY; BIOINFORMATICS; CHALLENGES; biomedical research; COLLABORATIONS; FOSMIDOMYCIN-CLINDAMYCIN; GENOME SEQUENCE; GLOBAL HEALTH; infectious disease; ISOPRENOID BIOSYNTHESIS; MALARIA; VACCINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
